FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-10-01,Los Esclavos,INS060101CV,INSDMCL0601001CONV,17.4,29.4,20.0,25.0,,,90.0,,7.0,4.0,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-02,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.5,29.4,20.4,24.7,,,90.0,,5.0,3.3,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-03,Los Esclavos,INS060101CV,INSDMCL0601001CONV,25.8,30.0,20.2,24.1,,,92.0,,7.0,2.7,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-04,Los Esclavos,INS060101CV,INSDMCL0601001CONV,10.1,27.2,19.0,23.2,,,91.0,,5.0,4.7,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-05,Los Esclavos,INS060101CV,INSDMCL0601001CONV,42.1,28.2,19.8,22.6,,,97.0,,3.0,2.7,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-06,Los Esclavos,INS060101CV,INSDMCL0601001CONV,26.1,27.4,20.2,23.0,,,94.0,,5.0,3.3,360.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-07,Los Esclavos,INS060101CV,INSDMCL0601001CONV,2.6,27.0,20.6,23.5,,,93.0,,5.0,3.3,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-08,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,28.4,19.8,23.9,,,90.0,,7.0,5.3,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-09,Los Esclavos,INS060101CV,INSDMCL0601001CONV,6.8,29.8,20.0,24.8,,,87.0,,3.0,4.0,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-10,Los Esclavos,INS060101CV,INSDMCL0601001CONV,30.4,29.6,19.0,24.6,,,90.0,,5.0,4.7,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-11,Los Esclavos,INS060101CV,INSDMCL0601001CONV,5.5,27.6,19.8,23.2,,,93.0,,5.0,3.3,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-12,Los Esclavos,INS060101CV,INSDMCL0601001CONV,15.2,29.2,19.0,23.5,,,90.0,,4.0,2.7,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-13,Los Esclavos,INS060101CV,INSDMCL0601001CONV,17.5,28.8,18.8,23.5,,,91.0,,5.0,3.3,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-14,Los Esclavos,INS060101CV,INSDMCL0601001CONV,7.0,28.6,19.0,23.5,,,91.0,,4.0,3.3,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-15,Los Esclavos,INS060101CV,INSDMCL0601001CONV,26.4,28.8,20.4,24.6,,,88.0,,5.0,4.0,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-16,Los Esclavos,INS060101CV,INSDMCL0601001CONV,22.4,29.4,18.0,24.1,,,89.0,,7.0,2.7,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-17,Los Esclavos,INS060101CV,INSDMCL0601001CONV,1.2,28.6,20.0,23.9,,,92.0,,7.0,6.0,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-18,Los Esclavos,INS060101CV,INSDMCL0601001CONV,22.2,27.0,20.0,22.7,,,96.0,,4.0,3.3,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-19,Los Esclavos,INS060101CV,INSDMCL0601001CONV,2.2,27.8,20.2,23.4,,,95.0,,6.0,3.3,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-20,Los Esclavos,INS060101CV,INSDMCL0601001CONV,2.0,30.0,20.0,24.9,,,91.0,,7.0,4.7,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-21,Los Esclavos,INS060101CV,INSDMCL0601001CONV,,,19.8,20.0,,,98.0,,4.0,2.0,360.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
