FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-11-08,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,34.2,23.2,28.6,2.8,,85.0,6.5,5.0,2.5,0.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-09,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,34.2,23.4,28.3,4.4,,89.0,7.0,5.0,2.5,0.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-10,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,34.0,24.0,28.7,4.5,,84.0,5.5,5.0,4.9,9.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-11,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,34.0,28.6,30.4,6.7,,64.0,7.0,5.0,29.6,45.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-12,Montufar,INS221401CV,INSDMCL2214001CONV,2.5,32.4,25.0,28.5,8.4,,59.0,4.3,5.0,22.2,45.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-13,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,34.8,26.4,30.1,6.1,,67.0,3.4,6.0,30.8,45.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-14,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,33.2,26.6,29.0,6.7,,72.0,6.0,5.0,7.4,9.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-15,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,33.2,23.0,28.1,3.3,,85.0,7.9,1.0,2.5,0.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-16,Montufar,INS221401CV,INSDMCL2214001CONV,8.3,34.8,23.4,28.9,6.0,,81.0,7.1,6.0,2.5,0.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-17,Montufar,INS221401CV,INSDMCL2214001CONV,0.6,34.2,23.0,28.6,4.9,,85.0,8.5,3.0,2.5,0.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-18,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,33.0,24.6,28.5,3.4,,86.0,4.2,7.0,3.7,0.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-19,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,34.4,24.0,29.1,4.1,,84.0,8.2,3.0,2.5,0.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-20,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,34.0,23.0,28.3,4.5,,88.0,8.5,0.0,2.5,0.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-21,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,34.8,22.0,28.1,4.0,,81.0,8.3,0.0,2.5,0.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-22,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,34.0,25.8,29.3,5.0,,80.0,8.4,0.0,6.2,9.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-23,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,34.8,27.8,30.3,6.0,,70.0,8.2,0.0,8.6,9.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-24,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,33.8,25.6,29.5,6.0,,79.0,8.6,1.0,4.9,9.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-25,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,34.0,22.4,28.1,5.0,,84.0,8.3,0.0,2.5,0.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-26,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,34.2,23.0,28.5,4.0,,85.0,8.5,0.0,2.5,0.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-27,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,36.4,24.2,31.5,5.8,,70.0,8.6,0.0,14.8,45.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-28,Montufar,INS221401CV,INSDMCL2214001CONV,0.0,35.6,27.4,31.1,6.2,,72.0,8.6,0.0,18.5,45.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
2025-11-29,Montufar,INS221401CV,INSDMCL2214001CONV,,,24.8,25.6,6.6,,76.0,,0.0,0.0,0.0,,,,,,13.8085298538,-90.1544570923,29.0,CLIMATOLOGÍA
